name,lat,lng
Beleghata Santi Sangha Club..Durga Puja Pandel,22.5619411,88.3912356
Metropolitan Durga Bari,22.5541919,88.4063578
Lal Building Durga Puja,22.5713983,88.3754584
Tangra Housing Durga Puja Ground,22.5538093,88.3826655
North Narkeldanga Bhratri Sangha Durgapuja ground,22.5798909,88.3824117
Railway Pallybasi Durga Puja,22.5726539,88.3754334
Kankurgachi Naboday Pallymangal Durga Puja,22.5737505,88.3881605
GURUDAS PARK DURGA PUJA,22.5704475,88.3903098
JMM Row Durga Puja,22.5711782,88.3698645
Kulia Durga Puja,22.5619953,88.3957814
Beliaghata Sree Durga Club,22.5675287,88.377344
Betbagan Durga Pandal,22.5621248,88.3829716
Rammohan Sammilani,22.5815406,88.3751154
Agraduth Club Durga Puja,22.4829097,88.3149116
Behala Player's Corner Durga Puja,22.4858476,88.313717
Barisha Tapoban Durgapuja Area,22.4764254,88.3105034
Barisha 22 Pally Sarbojanin Durgotsab,22.4757624,88.3047986
Barisha Udayan Pally,22.4754554,88.3092149
K.F.R. Ground Sarbojanin Durga Puja,22.5022126,88.3218464
Barisha Mukul Sangha Durgapuja Area,22.4797092,88.3108534
Jadu and Mitra Colony Durgapuja,22.4932499,88.3180145
Sitalatala Sanghashree Club Sarbojonin Durga Mandir,22.4880977,88.3112242
Barisha Chandi Mela,22.4808525,88.3087408
Behala Sree Sangha,22.4899348,88.3116678
Chaltabagan Durgapuja (Maniktala Chaltabagan Lohapatty Durgapuja Committee),22.5848984,88.3723394
Rasmoni Bagan Durga Temple,22.5603674,88.3916274
Bangabir Sangha,22.5562122,88.3966107
Chapatala Pally Sarbojanin Durga Puja Mondop,22.5718795,88.368026
Beleghata Pancha Durga,22.5659057,88.3916603
Thanthania Dutta Bari,22.5805749,88.3658847
Kishor Sangha Durga Pandel,22.559263,88.3911225
Kaiser Street Sarbojanin,22.570257,88.371861
Beleghata Pally Unnayan Samity,22.5668844,88.3840998
Goabagan Sarodatsav Sammilani,22.5893555,88.3717
Barisha Janakalyan Sangha Durga Puja Area,22.4849124,88.3125818
Barisha Sarbojonin,22.4798533,88.3081233
Shakti Sangha Durgapuja Area,22.4743753,88.3158074
Behala Nutan Sangha Puja Pandal,22.5019877,88.3193392
Sonar Durga Bari,22.4998214,88.3145487
Behala Pragati Sangha Durga Puja,22.4949781,88.3167081
Basu Barir Durga Puja,22.4791993,88.3127744
Sister Nivedita MultiPurpose Society Duga Puja Mandap,22.4669335,88.3120983
Jaipurpally Durga Puja,22.4929394,88.3246254
Barisha Chandi Temple,22.4810408,88.3088431
Tarun Dal Durgapuja Area,22.471394,88.31165
Souvik Chakraborty Barabagan Sarbojonin Durga Puja Area C3   Bidya Sagar Sarani  APARNA House,22.4722423,88.3128026
Joyrampur Sammilita Sarbojanin Durgotsab Committee   Behala,22.4892136,88.3065091
Nabarun Sangha Club,22.4990518,88.3237221
Barisha Ekota Sangha Club House,22.4881459,88.3159952
Jayasree Durgapuja Ground,22.4912265,88.3254873
Behala East Park Samaj Bhavan,22.4847041,88.3232442
AJC Bose Road Durgapuja Area,22.4731027,88.3109238
Barisha Milan Tirtha Club,22.4883082,88.3215125
Adarsha Samiti Club,22.475908,88.3347884
Shyamapally Durgapuja Ground,22.4933526,88.3262654
BARISHA SABUJ SANGHA CLUB,22.4714232,88.3149384
Yuba Brinda DurgaPuja Mandop,22.595916,88.3823154
Durga Puja   Karunamoyee Housing Estate G Block,22.5824738,88.4232151
Mitali Sangha Kankurgachi,22.5800474,88.3941322
Sitala Temple,22.5803147,88.3833015
Bagmari Durga Puja,22.5889971,88.384991
Aurobinda Abasan Durga Puja,22.5859677,88.3813386
Akaal Bodhan Durga Mandir,22.5156046,88.3364179
74 Pally Club,22.5396498,88.3252173
Bhawanipur Muktadol Durga Puja,22.527773,88.3440036
Chetla Palli Durga Puja Mandap,22.5158395,88.3400823
75 Pally Khidderpore,22.5402695,88.3205241
National Library Durga Puja Community Shed,22.5310809,88.3346026
7 Tanks Durga Puja Pandal,22.6235978,88.3890035
Patipukur Adi Sarbojonin Durga Puja Committee,22.6087183,88.396662
Tala Ponero (15) Pally Durga Puja,22.6124763,88.3847732
Durga Puja Pandal Jyotish Roy Road,22.5029479,88.3343553
Chetla Sarbasadharaner Durgotsab,22.5173133,88.3399375
Khidderpore Nabarag,22.5417107,88.3212546
Maniktala chaltabagan lohapatty,22.5848905,88.3721509
Venus Club,22.5381681,88.3269229
Sinthee Roy Para Sarbojanin Club Durga Puja Pandal,22.62708,88.3897592
Charer Palli Sarbojonin Durgotsab,22.6170696,88.3878619
Campbagan Sadharan Durgotsob Durga Puja Pandle,22.6133022,88.3881007
TALTALA CHILDREN'S PARK SARBOJANIN,22.558198,88.364118
Brindaban Matri Mandir Durga Puja Committee in Kolkata,22.5825241,88.3732045
Hatibagan Sarbojanin Durgotsav,22.5943863,88.3720004
Sikdar Bagan Sadharan Durgotsov,22.5966234,88.3723112
Yubak Brinda DurgaPuja Mandop,22.595916,88.3823154
Beniatola Sarbojonin Durgostsav,22.5957539,88.3611882
Kumortuli Sarbojonin Durgotsab,22.601233,88.3626053
Baghbazar Sarbojonin Durgotsav,22.6046649,88.3659778
Baghbazar 7 Pally Sarbojanin Durgotsav,22.6046937,88.3713085
Deshbandhu Park,22.60001,88.3771053
Tala Barowari Durgotsab,22.6072058,88.3761994
Tala Prattoy Durga Puja Art,22.6089319,88.382574
Lake Town Adhibasi Brindo Durga Puja Pandal,22.6044508,88.4039701
Gauri Bari Sarbojanin Durga Puja Pandal,22.594547,88.379227
Pathuriaghata Pancher Pally,22.588566,88.358368
Tala Palli,22.608385,88.374886
Ghas Bagan,22.591923,88.343468
Olabibitala Sarbojanin,22.575529,88.315788
Dakshineswar Dolpere Adi Sabojonin Durgapuja,22.659449,88.364433
Milangarh Sarbojanin,22.651651,88.374054
Beliaghata Nabamilan,22.565413,88.396255
United Club,22.591042,88.391182
Swapnar Bagan,22.579193,88.395462
Sammilita Lalabagan Sarbojanin,22.587385,88.376923
CIT Sarbojanin,22.625994,88.377861
Baghbazar Jagodharti,22.603493,88.371101
Kamardanga Sitalatala - Howrah,22.595987,88.303587
